text,sentiment
The service was awful.,negative
This restaurant is amazing!,positive
"The ambiance was fine, but the food was awful.",neutral
The service was awful.,negative
"The ambiance was satisfactory, but the food was bad.",neutral
"The ambiance was satisfactory, but the food was disgusting.",neutral
"The ambiance was satisfactory, but the food was bad.",neutral
"The ambiance was fine, but the food was poor.",neutral
"The ambiance was fine, but the food was bad.",neutral
This restaurant is excellent!,positive
This restaurant is wonderful!,positive
"The ambiance was average, but the food was terrible.",neutral
The service was awful.,negative
This restaurant is great!,positive
"The ambiance was decent, but the food was disgusting.",neutral
This restaurant is delicious!,positive
"The ambiance was fine, but the food was disgusting.",neutral
The service was disgusting.,negative
"The ambiance was fine, but the food was terrible.",neutral
This restaurant is fantastic!,positive
The service was disgusting.,negative
"The ambiance was acceptable, but the food was terrible.",neutral
This restaurant is fantastic!,positive
"The ambiance was decent, but the food was poor.",neutral
"The ambiance was acceptable, but the food was disgusting.",neutral
This restaurant is great!,positive
This restaurant is excellent!,positive
This restaurant is wonderful!,positive
The service was awful.,negative
This restaurant is amazing!,positive
"The ambiance was okay, but the food was disgusting.",neutral
"The ambiance was satisfactory, but the food was disgusting.",neutral
"The ambiance was okay, but the food was bad.",neutral
This restaurant is wonderful!,positive
This restaurant is fantastic!,positive
The service was terrible.,negative
"The ambiance was okay, but the food was awful.",neutral
The service was bad.,negative
"The ambiance was okay, but the food was horrible.",neutral
"The ambiance was average, but the food was disgusting.",neutral
This restaurant is amazing!,positive
This restaurant is fantastic!,positive
"The ambiance was average, but the food was horrible.",neutral
This restaurant is fantastic!,positive
This restaurant is delicious!,positive
"The ambiance was okay, but the food was terrible.",neutral
The service was disgusting.,negative
This restaurant is wonderful!,positive
The service was awful.,negative
This restaurant is wonderful!,positive
The service was disgusting.,negative
This restaurant is great!,positive
"The ambiance was decent, but the food was awful.",neutral
This restaurant is fantastic!,positive
This restaurant is fantastic!,positive
"The ambiance was okay, but the food was horrible.",neutral
This restaurant is excellent!,positive
The service was poor.,negative
This restaurant is wonderful!,positive
This restaurant is excellent!,positive
This restaurant is fantastic!,positive
This restaurant is fantastic!,positive
The service was terrible.,negative
"The ambiance was average, but the food was terrible.",neutral
"The ambiance was okay, but the food was poor.",neutral
This restaurant is amazing!,positive
This restaurant is delicious!,positive
"The ambiance was decent, but the food was terrible.",neutral
The service was horrible.,negative
"The ambiance was average, but the food was disgusting.",neutral
The service was disgusting.,negative
The service was horrible.,negative
"The ambiance was fine, but the food was poor.",neutral
"The ambiance was fine, but the food was awful.",neutral
The service was horrible.,negative
The service was disgusting.,negative
"The ambiance was okay, but the food was awful.",neutral
The service was disgusting.,negative
This restaurant is fantastic!,positive
This restaurant is amazing!,positive
"The ambiance was fine, but the food was horrible.",neutral
The service was horrible.,negative
This restaurant is wonderful!,positive
This restaurant is excellent!,positive
"The ambiance was average, but the food was bad.",neutral
The service was bad.,negative
"The ambiance was decent, but the food was awful.",neutral
"The ambiance was okay, but the food was awful.",neutral
"The ambiance was fine, but the food was awful.",neutral
The service was disgusting.,negative
"The ambiance was average, but the food was terrible.",neutral
The service was horrible.,negative
"The ambiance was average, but the food was disgusting.",neutral
The service was disgusting.,negative
The service was disgusting.,negative
"The ambiance was decent, but the food was terrible.",neutral
"The ambiance was acceptable, but the food was disgusting.",neutral
This restaurant is delicious!,positive
"The ambiance was average, but the food was poor.",neutral
"The ambiance was average, but the food was horrible.",neutral
The service was poor.,negative
The service was awful.,negative
"The ambiance was average, but the food was poor.",neutral
"The ambiance was decent, but the food was terrible.",neutral
"The ambiance was okay, but the food was horrible.",neutral
"The ambiance was decent, but the food was awful.",neutral
This restaurant is amazing!,positive
"The ambiance was satisfactory, but the food was horrible.",neutral
This restaurant is fantastic!,positive
The service was poor.,negative
This restaurant is great!,positive
The service was awful.,negative
The service was horrible.,negative
"The ambiance was average, but the food was disgusting.",neutral
This restaurant is wonderful!,positive
"The ambiance was decent, but the food was poor.",neutral
"The ambiance was decent, but the food was awful.",neutral
The service was horrible.,negative
This restaurant is amazing!,positive
This restaurant is excellent!,positive
This restaurant is amazing!,positive
The service was terrible.,negative
The service was awful.,negative
"The ambiance was decent, but the food was awful.",neutral
"The ambiance was fine, but the food was poor.",neutral
"The ambiance was acceptable, but the food was poor.",neutral
This restaurant is excellent!,positive
This restaurant is wonderful!,positive
This restaurant is great!,positive
The service was poor.,negative
This restaurant is excellent!,positive
"The ambiance was satisfactory, but the food was disgusting.",neutral
"The ambiance was average, but the food was poor.",neutral
"The ambiance was satisfactory, but the food was terrible.",neutral
This restaurant is wonderful!,positive
The service was disgusting.,negative
This restaurant is delicious!,positive
"The ambiance was average, but the food was terrible.",neutral
This restaurant is excellent!,positive
"The ambiance was satisfactory, but the food was terrible.",neutral
This restaurant is excellent!,positive
"The ambiance was acceptable, but the food was horrible.",neutral
"The ambiance was decent, but the food was terrible.",neutral
The service was terrible.,negative
"The ambiance was okay, but the food was bad.",neutral
This restaurant is delicious!,positive
The service was horrible.,negative
The service was terrible.,negative
This restaurant is delicious!,positive
This restaurant is amazing!,positive
The service was disgusting.,negative
The service was terrible.,negative
"The ambiance was satisfactory, but the food was disgusting.",neutral
"The ambiance was fine, but the food was disgusting.",neutral
The service was bad.,negative
The service was poor.,negative
"The ambiance was fine, but the food was terrible.",neutral
"The ambiance was decent, but the food was disgusting.",neutral
The service was poor.,negative
This restaurant is amazing!,positive
The service was bad.,negative
This restaurant is fantastic!,positive
The service was awful.,negative
The service was horrible.,negative
"The ambiance was fine, but the food was disgusting.",neutral
This restaurant is fantastic!,positive
The service was bad.,negative
"The ambiance was okay, but the food was bad.",neutral
"The ambiance was satisfactory, but the food was bad.",neutral
The service was bad.,negative
"The ambiance was acceptable, but the food was poor.",neutral
The service was poor.,negative
This restaurant is great!,positive
"The ambiance was fine, but the food was poor.",neutral
This restaurant is delicious!,positive
This restaurant is excellent!,positive
The service was poor.,negative
"The ambiance was fine, but the food was bad.",neutral
"The ambiance was average, but the food was bad.",neutral
The service was poor.,negative
The service was horrible.,negative
This restaurant is amazing!,positive
The service was horrible.,negative
The service was terrible.,negative
This restaurant is amazing!,positive
"The ambiance was fine, but the food was disgusting.",neutral
"The ambiance was okay, but the food was terrible.",neutral
The service was horrible.,negative
"The ambiance was okay, but the food was bad.",neutral
The service was horrible.,negative
"The ambiance was acceptable, but the food was poor.",neutral
"The ambiance was satisfactory, but the food was poor.",neutral
This restaurant is excellent!,positive
This restaurant is amazing!,positive
This restaurant is excellent!,positive
The service was terrible.,negative
This restaurant is great!,positive
The service was bad.,negative
The service was horrible.,negative
"The ambiance was satisfactory, but the food was terrible.",neutral
"The ambiance was acceptable, but the food was horrible.",neutral
This restaurant is excellent!,positive
The service was terrible.,negative
This restaurant is great!,positive
This restaurant is great!,positive
The service was horrible.,negative
"The ambiance was acceptable, but the food was horrible.",neutral
This restaurant is delicious!,positive
The service was bad.,negative
"The ambiance was satisfactory, but the food was disgusting.",neutral
This restaurant is great!,positive
This restaurant is excellent!,positive
This restaurant is amazing!,positive
This restaurant is excellent!,positive
This restaurant is wonderful!,positive
"The ambiance was satisfactory, but the food was horrible.",neutral
"The ambiance was acceptable, but the food was awful.",neutral
"The ambiance was fine, but the food was terrible.",neutral
"The ambiance was satisfactory, but the food was awful.",neutral
"The ambiance was okay, but the food was bad.",neutral
The service was awful.,negative
This restaurant is excellent!,positive
The service was disgusting.,negative
This restaurant is wonderful!,positive
This restaurant is great!,positive
"The ambiance was fine, but the food was awful.",neutral
"The ambiance was acceptable, but the food was horrible.",neutral
"The ambiance was acceptable, but the food was awful.",neutral
This restaurant is delicious!,positive
"The ambiance was average, but the food was terrible.",neutral
This restaurant is fantastic!,positive
This restaurant is wonderful!,positive
"The ambiance was okay, but the food was bad.",neutral
This restaurant is fantastic!,positive
This restaurant is great!,positive
The service was horrible.,negative
The service was bad.,negative
The service was bad.,negative
"The ambiance was satisfactory, but the food was awful.",neutral
"The ambiance was fine, but the food was awful.",neutral
"The ambiance was acceptable, but the food was terrible.",neutral
This restaurant is great!,positive
"The ambiance was decent, but the food was disgusting.",neutral
The service was horrible.,negative
"The ambiance was average, but the food was bad.",neutral
"The ambiance was satisfactory, but the food was terrible.",neutral
The service was disgusting.,negative
This restaurant is fantastic!,positive
This restaurant is excellent!,positive
The service was poor.,negative
"The ambiance was decent, but the food was poor.",neutral
"The ambiance was decent, but the food was awful.",neutral
The service was awful.,negative
"The ambiance was fine, but the food was bad.",neutral
This restaurant is excellent!,positive
The service was disgusting.,negative
The service was horrible.,negative
"The ambiance was average, but the food was disgusting.",neutral
This restaurant is delicious!,positive
"The ambiance was average, but the food was disgusting.",neutral
This restaurant is great!,positive
"The ambiance was satisfactory, but the food was awful.",neutral
The service was horrible.,negative
"The ambiance was satisfactory, but the food was awful.",neutral
The service was terrible.,negative
This restaurant is wonderful!,positive
The service was bad.,negative
This restaurant is delicious!,positive
The service was disgusting.,negative
"The ambiance was average, but the food was bad.",neutral
The service was bad.,negative
"The ambiance was satisfactory, but the food was terrible.",neutral
This restaurant is excellent!,positive
This restaurant is amazing!,positive
The service was terrible.,negative
This restaurant is excellent!,positive
"The ambiance was fine, but the food was horrible.",neutral
This restaurant is excellent!,positive
The service was poor.,negative
This restaurant is amazing!,positive
This restaurant is wonderful!,positive
This restaurant is amazing!,positive
The service was horrible.,negative
"The ambiance was average, but the food was poor.",neutral
The service was poor.,negative
This restaurant is fantastic!,positive
The service was awful.,negative
This restaurant is wonderful!,positive
The service was horrible.,negative
"The ambiance was average, but the food was poor.",neutral
This restaurant is amazing!,positive
The service was disgusting.,negative
This restaurant is delicious!,positive
The service was poor.,negative
"The ambiance was okay, but the food was awful.",neutral
"The ambiance was average, but the food was bad.",neutral
"The ambiance was fine, but the food was bad.",neutral
This restaurant is excellent!,positive
"The ambiance was okay, but the food was disgusting.",neutral
"The ambiance was satisfactory, but the food was horrible.",neutral
The service was horrible.,negative
"The ambiance was average, but the food was bad.",neutral
The service was bad.,negative
"The ambiance was okay, but the food was horrible.",neutral
This restaurant is amazing!,positive
This restaurant is great!,positive
The service was bad.,negative
"The ambiance was decent, but the food was awful.",neutral
This restaurant is wonderful!,positive
"The ambiance was fine, but the food was disgusting.",neutral
"The ambiance was satisfactory, but the food was poor.",neutral
The service was awful.,negative
The service was terrible.,negative
This restaurant is great!,positive
This restaurant is delicious!,positive
The service was disgusting.,negative
"The ambiance was decent, but the food was awful.",neutral
This restaurant is delicious!,positive
"The ambiance was satisfactory, but the food was bad.",neutral
The service was poor.,negative
The service was horrible.,negative
This restaurant is excellent!,positive
This restaurant is fantastic!,positive
The service was poor.,negative
The service was bad.,negative
The service was bad.,negative
The service was bad.,negative
The service was poor.,negative
"The ambiance was acceptable, but the food was awful.",neutral
"The ambiance was decent, but the food was disgusting.",neutral
The service was bad.,negative
This restaurant is fantastic!,positive
The service was bad.,negative
This restaurant is excellent!,positive
"The ambiance was decent, but the food was poor.",neutral
This restaurant is great!,positive
This restaurant is excellent!,positive
This restaurant is wonderful!,positive
The service was horrible.,negative
The service was awful.,negative
The service was awful.,negative
This restaurant is fantastic!,positive
The service was disgusting.,negative
This restaurant is excellent!,positive
This restaurant is delicious!,positive
"The ambiance was fine, but the food was awful.",neutral
"The ambiance was acceptable, but the food was horrible.",neutral
The service was disgusting.,negative
The service was disgusting.,negative
This restaurant is fantastic!,positive
"The ambiance was okay, but the food was terrible.",neutral
"The ambiance was fine, but the food was bad.",neutral
This restaurant is amazing!,positive
The service was horrible.,negative
"The ambiance was okay, but the food was terrible.",neutral
The service was awful.,negative
The service was awful.,negative
This restaurant is delicious!,positive
The service was horrible.,negative
The service was poor.,negative
This restaurant is wonderful!,positive
"The ambiance was decent, but the food was bad.",neutral
The service was disgusting.,negative
"The ambiance was okay, but the food was awful.",neutral
"The ambiance was fine, but the food was bad.",neutral
The service was awful.,negative
This restaurant is wonderful!,positive
The service was terrible.,negative
This restaurant is amazing!,positive
The service was poor.,negative
"The ambiance was fine, but the food was poor.",neutral
The service was horrible.,negative
The service was horrible.,negative
This restaurant is great!,positive
"The ambiance was decent, but the food was terrible.",neutral
"The ambiance was acceptable, but the food was horrible.",neutral
This restaurant is delicious!,positive
"The ambiance was acceptable, but the food was bad.",neutral
The service was awful.,negative
This restaurant is great!,positive
This restaurant is excellent!,positive
The service was awful.,negative
"The ambiance was average, but the food was disgusting.",neutral
"The ambiance was okay, but the food was disgusting.",neutral
"The ambiance was decent, but the food was horrible.",neutral
"The ambiance was fine, but the food was horrible.",neutral
The service was poor.,negative
This restaurant is wonderful!,positive
The service was awful.,negative
The service was disgusting.,negative
"The ambiance was okay, but the food was terrible.",neutral
This restaurant is excellent!,positive
This restaurant is amazing!,positive
The service was horrible.,negative
This restaurant is great!,positive
This restaurant is amazing!,positive
"The ambiance was okay, but the food was horrible.",neutral
The service was bad.,negative
"The ambiance was satisfactory, but the food was horrible.",neutral
"The ambiance was acceptable, but the food was terrible.",neutral
"The ambiance was satisfactory, but the food was terrible.",neutral
The service was bad.,negative
"The ambiance was okay, but the food was horrible.",neutral
The service was poor.,negative
This restaurant is amazing!,positive
"The ambiance was okay, but the food was terrible.",neutral
The service was bad.,negative
The service was horrible.,negative
This restaurant is great!,positive
"The ambiance was average, but the food was horrible.",neutral
This restaurant is amazing!,positive
"The ambiance was fine, but the food was disgusting.",neutral
The service was poor.,negative
The service was awful.,negative
The service was disgusting.,negative
"The ambiance was satisfactory, but the food was horrible.",neutral
"The ambiance was average, but the food was disgusting.",neutral
The service was awful.,negative
The service was terrible.,negative
"The ambiance was decent, but the food was bad.",neutral
"The ambiance was average, but the food was poor.",neutral
The service was bad.,negative
This restaurant is amazing!,positive
The service was poor.,negative
The service was horrible.,negative
The service was disgusting.,negative
This restaurant is excellent!,positive
This restaurant is delicious!,positive
The service was terrible.,negative
This restaurant is great!,positive
"The ambiance was satisfactory, but the food was poor.",neutral
This restaurant is excellent!,positive
The service was horrible.,negative
The service was terrible.,negative
"The ambiance was fine, but the food was bad.",neutral
This restaurant is fantastic!,positive
This restaurant is great!,positive
"The ambiance was satisfactory, but the food was bad.",neutral
This restaurant is excellent!,positive
The service was bad.,negative
This restaurant is great!,positive
"The ambiance was average, but the food was bad.",neutral
"The ambiance was average, but the food was horrible.",neutral
"The ambiance was acceptable, but the food was horrible.",neutral
"The ambiance was acceptable, but the food was poor.",neutral
This restaurant is excellent!,positive
The service was disgusting.,negative
The service was awful.,negative
"The ambiance was average, but the food was poor.",neutral
"The ambiance was acceptable, but the food was bad.",neutral
"The ambiance was fine, but the food was terrible.",neutral
This restaurant is delicious!,positive
The service was disgusting.,negative
This restaurant is wonderful!,positive
"The ambiance was acceptable, but the food was disgusting.",neutral
The service was poor.,negative
This restaurant is wonderful!,positive
This restaurant is delicious!,positive
The service was poor.,negative
The service was bad.,negative
"The ambiance was okay, but the food was poor.",neutral
"The ambiance was acceptable, but the food was poor.",neutral
The service was terrible.,negative
The service was horrible.,negative
The service was awful.,negative
"The ambiance was average, but the food was horrible.",neutral
This restaurant is wonderful!,positive
"The ambiance was decent, but the food was bad.",neutral
"The ambiance was acceptable, but the food was poor.",neutral
This restaurant is excellent!,positive
This restaurant is wonderful!,positive
"The ambiance was okay, but the food was awful.",neutral
The service was bad.,negative
"The ambiance was acceptable, but the food was awful.",neutral
This restaurant is great!,positive
This restaurant is delicious!,positive
This restaurant is fantastic!,positive
"The ambiance was acceptable, but the food was awful.",neutral
This restaurant is great!,positive
The service was awful.,negative
The service was awful.,negative
"The ambiance was decent, but the food was terrible.",neutral
This restaurant is delicious!,positive
The service was terrible.,negative
"The ambiance was satisfactory, but the food was poor.",neutral
This restaurant is great!,positive
"The ambiance was fine, but the food was terrible.",neutral
The service was horrible.,negative
This restaurant is delicious!,positive
This restaurant is great!,positive
This restaurant is delicious!,positive
The service was horrible.,negative
This restaurant is amazing!,positive
"The ambiance was fine, but the food was disgusting.",neutral
This restaurant is wonderful!,positive
The service was awful.,negative
This restaurant is great!,positive
This restaurant is great!,positive
This restaurant is wonderful!,positive
The service was poor.,negative
"The ambiance was average, but the food was disgusting.",neutral
This restaurant is great!,positive
